Hannah Abbott
Aunt Lavender Brown
Uncle Lavender Brown
Mr. and Mrs. Lavender Brown
Millicent Bulstrode
Dr. Millicent Bulstrode
Professor Millicent Bulstrode
Mr. Millicent Bulstrode
Mrs. Millicent Bulstrode
Ms. Millicent Bulstrode
Miss Millicent Bulstrode
Aunt Millicent Bulstrode
Uncle Millicent Bulstrode
Mr. and Mrs. Millicent Bulstrode
Charity Burbage
Dr. Charity Burbage
Professor Charity Burbage
Mr. Charity Burbage
Mrs. Charity Burbage
Ms. Charity Burbage
Miss Charity Burbage
Aunt Charity Burbage
Uncle Charity Burbage
Mr. and Mrs. Charity Burbage
Frank Bryce
Dr. Frank Bryce
Professor Frank Bryce
Mr. Frank Bryce
Mrs. Frank Bryce
Ms. Frank Bryce
Miss Frank Bryce
Aunt Frank Bryce
Uncle Frank Bryce
Mr. and Mrs. Frank Bryce
Alecto Carrow
Dr. Alecto Carrow
Professor Alecto Carrow
Mr. Alecto Carrow
Mrs. Alecto Carrow
Ms. Alecto Carrow
Miss Alecto Carrow
Aunt Alecto Carrow
Uncle Alecto Carrow
Mr. and Mrs. Alecto Carrow
Amycus Carrow
Dr. Amycus Carrow
Professor Amycus Carrow
Mr. Amycus Carrow
Mrs. Amycus Carrow
Ms. Amycus Carrow
Miss Amycus Carrow
Aunt Amycus Carrow
Uncle Amycus Carrow
Mr. and Mrs. Amycus Carrow
Reginald Cattermole
Dr. Reginald Cattermole
Professor Reginald Cattermole
Mr. Reginald Cattermole
Mrs. Reginald Cattermole
Ms. Reginald Cattermole
Miss Reginald Cattermole
Aunt Reginald Cattermole
Uncle Reginald Cattermole
Mr. and Mrs. Reginald Cattermole
Mary Cattermole
Dr. Mary Cattermole
Professor Mary Cattermole
Mr. Mary Cattermole
Mrs. Mary Cattermole
Ms. Mary Cattermole
Miss Mary Cattermole
Aunt Mary Cattermole
Uncle Mary Cattermole
Mr. and Mrs. Mary Cattermole
Cho Chang
Dr. Cho Chang
Professor Cho Chang
Mr. Cho Chang
Mrs. Cho Chang
Ms. Cho Chang
Miss Cho Chang
Aunt Cho Chang
Uncle Cho Chang
Mr. and Mrs. Cho Chang
Penelope Clearwater
Dr. Penelope Clearwater
Professor Penelope Clearwater
Mr. Penelope Clearwater
Mrs. Penelope Clearwater
Ms. Penelope Clearwater
Miss Penelope Clearwater
Aunt Penelope Clearwater
Uncle Penelope Clearwater
Mr. and Mrs. Penelope Clearwater
Mrs. Cole
Dr. Mrs. Cole
Professor Mrs. Cole
Mr. Mrs. Cole
Mrs. Mrs. Cole
Ms. Mrs. Cole
Miss Mrs. Cole
Aunt Mrs. Cole
Uncle Mrs. Cole
Mr. and Mrs. Mrs. Cole
Michael Corner
Dr. Michael Corner
Professor Michael Corner
Mr. Michael Corner
Mrs. Michael Corner
Ms. Michael Corner
Miss Michael Corner
Aunt Michael Corner
Uncle Michael Corner
Mr. and Mrs. Michael Corner
Crabbe
Dr. Crabbe
Professor Crabbe
Mr. Crabbe
Mrs. Crabbe
Ms. Crabbe
Miss Crabbe
Aunt Crabbe
Uncle Crabbe
Mr. and Mrs. Crabbe
Vincent Crabbe
Dr. Vincent Crabbe
Professor Vincent Crabbe
Mr. Vincent Crabbe
Mrs. Vincent Crabbe
Ms. Vincent Crabbe
Miss Vincent Crabbe
Aunt Vincent Crabbe
Uncle Vincent Crabbe
Mr. and Mrs. Vincent Crabbe
Colin Creevey
Dr. Colin Creevey
Professor Colin Creevey
Mr. Colin Creevey
Mrs. Colin Creevey
Ms. Colin Creevey
Miss Colin Creevey
Aunt Colin Creevey
Uncle Colin Creevey
Mr. and Mrs. Colin Creevey
Dennis Creevey
Dr. Dennis Creevey
Professor Dennis Creevey
Mr. Dennis Creevey
Mrs. Dennis Creevey
Ms. Dennis Creevey
Miss Dennis Creevey
Aunt Dennis Creevey
Uncle Dennis Creevey
Mr. and Mrs. Dennis Creevey
Dirk Cresswell
Dr. Dirk Cresswell
Professor Dirk Cresswell
Mr. Dirk Cresswell
Mrs. Dirk Cresswell
Ms. Dirk Cresswell
Miss Dirk Cresswell
Aunt Dirk Cresswell
Uncle Dirk Cresswell
Mr. and Mrs. Dirk Cresswell
Barty Crouch Sr
Dr. Barty Crouch Sr
Professor Barty Crouch Sr
Mr. Barty Crouch Sr
Mrs. Barty Crouch Sr
Ms. Barty Crouch Sr
Miss Barty Crouch Sr
Aunt Barty Crouch Sr
Uncle Barty Crouch Sr
Mr. and Mrs. Barty Crouch Sr
Barty Crouch Jr
Dr. Barty Crouch Jr
Professor Barty Crouch Jr
Mr. Barty Crouch Jr
Mrs. Barty Crouch Jr
Ms. Barty Crouch Jr
Miss Barty Crouch Jr
Aunt Barty Crouch Jr
Uncle Barty Crouch Jr
Mr. and Mrs. Barty Crouch Jr
Roger Davies
Dr. Roger Davies
Professor Roger Davies
Mr. Roger Davies
Mrs. Roger Davies
Ms. Roger Davies
Miss Roger Davies
Aunt Roger Davies
Uncle Roger Davies
Mr. and Mrs. Roger Davies
John Dawlish
Dr. John Dawlish
Professor John Dawlish
Mr. John Dawlish
Mrs. John Dawlish
Ms. John Dawlish
Miss John Dawlish
Aunt John Dawlish
Uncle John Dawlish
Mr. and Mrs. John Dawlish
Fleur Delacour
Dr. Fleur Delacour
Professor Fleur Delacour
Mr. Fleur Delacour
Mrs. Fleur Delacour
Ms. Fleur Delacour
Miss Fleur Delacour
Aunt Fleur Delacour
Uncle Fleur Delacour
Mr. and Mrs. Fleur Delacour
Gabrielle Delacour
Dr. Gabrielle Delacour
Professor Gabrielle Delacour
Mr. Gabrielle Delacour
Mrs. Gabrielle Delacour
Ms. Gabrielle Delacour
Miss Gabrielle Delacour
Aunt Gabrielle Delacour
Uncle Gabrielle Delacour
Mr. and Mrs. Gabrielle Delacour
Dedalus Diggle
Dr. Dedalus Diggle
Professor Dedalus Diggle
Mr. Dedalus Diggle
Mrs. Dedalus Diggle
Ms. Dedalus Diggle
Miss Dedalus Diggle
Aunt Dedalus Diggle
Uncle Dedalus Diggle
Mr. and Mrs. Dedalus Diggle
Amos Diggory
Dr. Amos Diggory
Professor Amos Diggory
Mr. Amos Diggory
Mrs. Amos Diggory
Ms. Amos Diggory
Miss Amos Diggory
Aunt Amos Diggory
Uncle Amos Diggory
Mr. and Mrs. Amos Diggory
Cedric Diggory
Dr. Cedric Diggory
Professor Cedric Diggory
Mr. Cedric Diggory
Mrs. Cedric Diggory
Ms. Cedric Diggory
Miss Cedric Diggory
Aunt Cedric Diggory
Uncle Cedric Diggory
Mr. and Mrs. Cedric Diggory
Elphias Doge
Dr. Elphias Doge
Professor Elphias Doge
Mr. Elphias Doge
Mrs. Elphias Doge
Ms. Elphias Doge
Miss Elphias Doge
Aunt Elphias Doge
Uncle Elphias Doge
Mr. and Mrs. Elphias Doge
Antonin Dolohov
Dr. Antonin Dolohov
Professor Antonin Dolohov
Mr. Antonin Dolohov
Mrs. Antonin Dolohov
Ms. Antonin Dolohov
Miss Antonin Dolohov
Aunt Antonin Dolohov
Uncle Antonin Dolohov
Mr. and Mrs. Antonin Dolohov
Aberforth Dumbledore
Dr. Aberforth Dumbledore
Professor Aberforth Dumbledore
Mr. Aberforth Dumbledore
Mrs. Aberforth Dumbledore
Ms. Aberforth Dumbledore
Miss Aberforth Dumbledore
Aunt Aberforth Dumbledore
Uncle Aberforth Dumbledore
Mr. and Mrs. Aberforth Dumbledore
Albus Dumbledore
Dr. Albus Dumbledore
Professor Albus Dumbledore
Mr. Albus Dumbledore
Mrs. Albus Dumbledore
Ms. Albus Dumbledore
Miss Albus Dumbledore
Aunt Albus Dumbledore
Uncle Albus Dumbledore
Mr. and Mrs. Albus Dumbledore
Ariana Dumbledore
Dr. Ariana Dumbledore
Professor Ariana Dumbledore
Mr. Ariana Dumbledore
Mrs. Ariana Dumbledore
Ms. Ariana Dumbledore
Miss Ariana Dumbledore
Aunt Ariana Dumbledore
Uncle Ariana Dumbledore
Mr. and Mrs. Ariana Dumbledore
Kendra Dumbledore
Dr. Kendra Dumbledore
Professor Kendra Dumbledore
Mr. Kendra Dumbledore
Mrs. Kendra Dumbledore
Ms. Kendra Dumbledore
Miss Kendra Dumbledore
Aunt Kendra Dumbledore
Uncle Kendra Dumbledore
Mr. and Mrs. Kendra Dumbledore
Percival Dumbledore
Dr. Percival Dumbledore
Professor Percival Dumbledore
Mr. Percival Dumbledore
Mrs. Percival Dumbledore
Ms. Percival Dumbledore
Miss Percival Dumbledore
Aunt Percival Dumbledore
Uncle Percival Dumbledore
Mr. and Mrs. Percival Dumbledore
Dudley Dursley
Dr. Dudley Dursley
Professor Dudley Dursley
Mr. Dudley Dursley
Mrs. Dudley Dursley
Ms. Dudley Dursley
Miss Dudley Dursley
Aunt Dudley Dursley
Uncle Dudley Dursley
Mr. and Mrs. Dudley Dursley
Marge Dursley
Dr. Marge Dursley
Professor Marge Dursley
Mr. Marge Dursley
Mrs. Marge Dursley
Ms. Marge Dursley
Miss Marge Dursley
Aunt Marge Dursley
Uncle Marge Dursley
Mr. and Mrs. Marge Dursley
Petunia Dursley
Dr. Petunia Dursley
Professor Petunia Dursley
Mr. Petunia Dursley
Mrs. Petunia Dursley
Ms. Petunia Dursley
Miss Petunia Dursley
Aunt Petunia Dursley
Uncle Petunia Dursley
Mr. and Mrs. Petunia Dursley
Vernon Dursley
Dr. Vernon Dursley
Professor Vernon Dursley
Mr. Vernon Dursley
Mrs. Vernon Dursley
Ms. Vernon Dursley
Miss Vernon Dursley
Aunt Vernon Dursley
Uncle Vernon Dursley
Mr. and Mrs. Vernon Dursley
Marietta Edgecombe
Dr. Marietta Edgecombe
Professor Marietta Edgecombe
Mr. Marietta Edgecombe
Mrs. Marietta Edgecombe
Ms. Marietta Edgecombe
Miss Marietta Edgecombe
Aunt Marietta Edgecombe
Uncle Marietta Edgecombe
Mr. and Mrs. Marietta Edgecombe
Arabella Figg
Dr. Arabella Figg
Professor Arabella Figg
Mr. Arabella Figg
Mrs. Arabella Figg
Ms. Arabella Figg
Miss Arabella Figg
Aunt Arabella Figg
Uncle Arabella Figg
Mr. and Mrs. Arabella Figg
Argus Filch
Dr. Argus Filch
Professor Argus Filch
Mr. Argus Filch
Mrs. Argus Filch
Ms. Argus Filch
Miss Argus Filch
Aunt Argus Filch
Uncle Argus Filch
Mr. and Mrs. Argus Filch
Justin Finch-Fletchley
Dr. Justin Finch-Fletchley
Professor Justin Finch-Fletchley
Mr. Justin Finch-Fletchley
Mrs. Justin Finch-Fletchley
Ms. Justin Finch-Fletchley
Miss Justin Finch-Fletchley
Aunt Justin Finch-Fletchley
Uncle Justin Finch-Fletchley
Mr. and Mrs. Justin Finch-Fletchley
Seamus Finnigan
Dr. Seamus Finnigan
Professor Seamus Finnigan
Mr. Seamus Finnigan
Mrs. Seamus Finnigan
Ms. Seamus Finnigan
Miss Seamus Finnigan
Aunt Seamus Finnigan
Uncle Seamus Finnigan
Mr. and Mrs. Seamus Finnigan
Marcus Flint
Dr. Marcus Flint
Professor Marcus Flint
Mr. Marcus Flint
Mrs. Marcus Flint
Ms. Marcus Flint
Miss Marcus Flint
Aunt Marcus Flint
Uncle Marcus Flint
Mr. and Mrs. Marcus Flint
Mundungus Fletcher
Dr. Mundungus Fletcher
Professor Mundungus Fletcher
Mr. Mundungus Fletcher
Mrs. Mundungus Fletcher
Ms. Mundungus Fletcher
Miss Mundungus Fletcher
Aunt Mundungus Fletcher
Uncle Mundungus Fletcher
Mr. and Mrs. Mundungus Fletcher
Filius Flitwick
Dr. Filius Flitwick
Professor Filius Flitwick
Mr. Filius Flitwick
Mrs. Filius Flitwick
Ms. Filius Flitwick
Miss Filius Flitwick
Aunt Filius Flitwick
Uncle Filius Flitwick
Mr. and Mrs. Filius Flitwick
Florean Fortescue
Dr. Florean Fortescue
Professor Florean Fortescue
Mr. Florean Fortescue
Mrs. Florean Fortescue
Ms. Florean Fortescue
Miss Florean Fortescue
Aunt Florean Fortescue
Uncle Florean Fortescue
Mr. and Mrs. Florean Fortescue
Cornelius Fudge
Dr. Cornelius Fudge
Professor Cornelius Fudge
Mr. Cornelius Fudge
Mrs. Cornelius Fudge
Ms. Cornelius Fudge
Miss Cornelius Fudge
Aunt Cornelius Fudge
Uncle Cornelius Fudge
Mr. and Mrs. Cornelius Fudge
Marvolo Gaunt
Dr. Marvolo Gaunt
Professor Marvolo Gaunt
Mr. Marvolo Gaunt
Mrs. Marvolo Gaunt
Ms. Marvolo Gaunt
Miss Marvolo Gaunt
Aunt Marvolo Gaunt
Uncle Marvolo Gaunt
Mr. and Mrs. Marvolo Gaunt
Merope Gaunt
Dr. Merope Gaunt
Professor Merope Gaunt
Mr. Merope Gaunt
Mrs. Merope Gaunt
Ms. Merope Gaunt
Miss Merope Gaunt
Aunt Merope Gaunt
Uncle Merope Gaunt
Mr. and Mrs. Merope Gaunt
Morfin Gaunt
Dr. Morfin Gaunt
Professor Morfin Gaunt
Mr. Morfin Gaunt
Mrs. Morfin Gaunt
Ms. Morfin Gaunt
Miss Morfin Gaunt
Aunt Morfin Gaunt
Uncle Morfin Gaunt
Mr. and Mrs. Morfin Gaunt
Anthony Goldstein
Dr. Anthony Goldstein
Professor Anthony Goldstein
Mr. Anthony Goldstein
Mrs. Anthony Goldstein
Ms. Anthony Goldstein
Miss Anthony Goldstein
Aunt Anthony Goldstein
Uncle Anthony Goldstein
Mr. and Mrs. Anthony Goldstein
Goyle
Dr. Goyle
Professor Goyle
Mr. Goyle
Mrs. Goyle
Ms. Goyle
Miss Goyle
Aunt Goyle
Uncle Goyle
Mr. and Mrs. Goyle
Gregory Goyle
Dr. Gregory Goyle
Professor Gregory Goyle
Mr. Gregory Goyle
Mrs. Gregory Goyle
Ms. Gregory Goyle
Miss Gregory Goyle
Aunt Gregory Goyle
Uncle Gregory Goyle
Mr. and Mrs. Gregory Goyle
Hermione Granger
Dr. Hermione Granger
Professor Hermione Granger
Mr. Hermione Granger
Mrs. Hermione Granger
Ms. Hermione Granger
Miss Hermione Granger
Aunt Hermione Granger
Uncle Hermione Granger
Mr. and Mrs. Hermione Granger
Gregorovitch
Dr. Gregorovitch
Professor Gregorovitch
Mr. Gregorovitch
Mrs. Gregorovitch
Ms. Gregorovitch
Miss Gregorovitch
Aunt Gregorovitch
Uncle Gregorovitch
Mr. and Mrs. Gregorovitch
Fenrir Greyback
Dr. Fenrir Greyback
Professor Fenrir Greyback
Mr. Fenrir Greyback
Mrs. Fenrir Greyback
Ms. Fenrir Greyback
Miss Fenrir Greyback
Aunt Fenrir Greyback
Uncle Fenrir Greyback
Mr. and Mrs. Fenrir Greyback
Gellert Grindelwald
Dr. Gellert Grindelwald
Professor Gellert Grindelwald
Mr. Gellert Grindelwald
Mrs. Gellert Grindelwald
Ms. Gellert Grindelwald
Miss Gellert Grindelwald
Aunt Gellert Grindelwald
Uncle Gellert Grindelwald
Mr. and Mrs. Gellert Grindelwald
Wilhelmina Grubbly-Plank
Dr. Wilhelmina Grubbly-Plank
Professor Wilhelmina Grubbly-Plank
Mr. Wilhelmina Grubbly-Plank
Mrs. Wilhelmina Grubbly-Plank
Ms. Wilhelmina Grubbly-Plank
Miss Wilhelmina Grubbly-Plank
Aunt Wilhelmina Grubbly-Plank
Uncle Wilhelmina Grubbly-Plank
Mr. and Mrs. Wilhelmina Grubbly-Plank
Rubeus Hagrid
Dr. Rubeus Hagrid
Professor Rubeus Hagrid
Mr. Rubeus Hagrid
Mrs. Rubeus Hagrid
Ms. Rubeus Hagrid
Miss Rubeus Hagrid
Aunt Rubeus Hagrid
Uncle Rubeus Hagrid
Mr. and Mrs. Rubeus Hagrid
Rolanda Hooch
Dr. Rolanda Hooch
Professor Rolanda Hooch
Mr. Rolanda Hooch
Mrs. Rolanda Hooch
Ms. Rolanda Hooch
Miss Rolanda Hooch
Aunt Rolanda Hooch
Uncle Rolanda Hooch
Mr. and Mrs. Rolanda Hooch
Mafalda Hopkirk
Dr. Mafalda Hopkirk
Professor Mafalda Hopkirk
Mr. Mafalda Hopkirk
Mrs. Mafalda Hopkirk
Ms. Mafalda Hopkirk
Miss Mafalda Hopkirk
Aunt Mafalda Hopkirk
Uncle Mafalda Hopkirk
Mr. and Mrs. Mafalda Hopkirk
Angelina Johnson
Dr. Angelina Johnson
Professor Angelina Johnson
Mr. Angelina Johnson
Mrs. Angelina Johnson
Ms. Angelina Johnson
Miss Angelina Johnson
Aunt Angelina Johnson
Uncle Angelina Johnson
Mr. and Mrs. Angelina Johnson
Lee Jordan
Dr. Lee Jordan
Professor Lee Jordan
Mr. Lee Jordan
Mrs. Lee Jordan
Ms. Lee Jordan
Miss Lee Jordan
Aunt Lee Jordan
Uncle Lee Jordan
Mr. and Mrs. Lee Jordan
Igor Karkaroff
Dr. Igor Karkaroff
Professor Igor Karkaroff
Mr. Igor Karkaroff
Mrs. Igor Karkaroff
Ms. Igor Karkaroff
Miss Igor Karkaroff
Aunt Igor Karkaroff
Uncle Igor Karkaroff
Mr. and Mrs. Igor Karkaroff
Viktor Krum
Dr. Viktor Krum
Professor Viktor Krum
Mr. Viktor Krum
Mrs. Viktor Krum
Ms. Viktor Krum
Miss Viktor Krum
Aunt Viktor Krum
Uncle Viktor Krum
Mr. and Mrs. Viktor Krum
Silvanus Kettleburn
Dr. Silvanus Kettleburn
Professor Silvanus Kettleburn
Mr. Silvanus Kettleburn
Mrs. Silvanus Kettleburn
Ms. Silvanus Kettleburn
Miss Silvanus Kettleburn
Aunt Silvanus Kettleburn
Uncle Silvanus Kettleburn
Mr. and Mrs. Silvanus Kettleburn
Bellatrix Lestrange
Dr. Bellatrix Lestrange
Professor Bellatrix Lestrange
Mr. Bellatrix Lestrange
Mrs. Bellatrix Lestrange
Ms. Bellatrix Lestrange
Miss Bellatrix Lestrange
Aunt Bellatrix Lestrange
Uncle Bellatrix Lestrange
Mr. and Mrs. Bellatrix Lestrange
Rabastan Lestrange
Dr. Rabastan Lestrange
Professor Rabastan Lestrange
Mr. Rabastan Lestrange
Mrs. Rabastan Lestrange
Ms. Rabastan Lestrange
Miss Rabastan Lestrange
Aunt Rabastan Lestrange
Uncle Rabastan Lestrange
Mr. and Mrs. Rabastan Lestrange
Rodolphus Lestrange
Dr. Rodolphus Lestrange
Professor Rodolphus Lestrange
Mr. Rodolphus Lestrange
Mrs. Rodolphus Lestrange
Ms. Rodolphus Lestrange
Miss Rodolphus Lestrange
Aunt Rodolphus Lestrange
Uncle Rodolphus Lestrange
Mr. and Mrs. Rodolphus Lestrange
Gilderoy Lockhart
Dr. Gilderoy Lockhart
Professor Gilderoy Lockhart
Mr. Gilderoy Lockhart
Mrs. Gilderoy Lockhart
Ms. Gilderoy Lockhart
Miss Gilderoy Lockhart
Aunt Gilderoy Lockhart
Uncle Gilderoy Lockhart
Mr. and Mrs. Gilderoy Lockhart
Alice Longbottom
Dr. Alice Longbottom
Professor Alice Longbottom
Mr. Alice Longbottom
Mrs. Alice Longbottom
Ms. Alice Longbottom
Miss Alice Longbottom
Aunt Alice Longbottom
Uncle Alice Longbottom
Mr. and Mrs. Alice Longbottom
Frank Longbottom
Dr. Frank Longbottom
Professor Frank Longbottom
Mr. Frank Longbottom
Mrs. Frank Longbottom
Ms. Frank Longbottom
Miss Frank Longbottom
Aunt Frank Longbottom
Uncle Frank Longbottom
Mr. and Mrs. Frank Longbottom
Augusta Longbottom
Dr. Augusta Longbottom
Professor Augusta Longbottom
Mr. Augusta Longbottom
Mrs. Augusta Longbottom
Ms. Augusta Longbottom
Miss Augusta Longbottom
Aunt Augusta Longbottom
Uncle Augusta Longbottom
Mr. and Mrs. Augusta Longbottom
Neville Longbottom
Dr. Neville Longbottom
Professor Neville Longbottom
Mr. Neville Longbottom
Mrs. Neville Longbottom
Ms. Neville Longbottom
Miss Neville Longbottom
Aunt Neville Longbottom
Uncle Neville Longbottom
Mr. and Mrs. Neville Longbottom
Luna Lovegood
Dr. Luna Lovegood
Professor Luna Lovegood
Mr. Luna Lovegood
Mrs. Luna Lovegood
Ms. Luna Lovegood
Miss Luna Lovegood
Aunt Luna Lovegood
Uncle Luna Lovegood
Mr. and Mrs. Luna Lovegood
Xenophilius Lovegood
Dr. Xenophilius Lovegood
Professor Xenophilius Lovegood
Mr. Xenophilius Lovegood
Mrs. Xenophilius Lovegood
Ms. Xenophilius Lovegood
Miss Xenophilius Lovegood
Aunt Xenophilius Lovegood
Uncle Xenophilius Lovegood
Mr. and Mrs. Xenophilius Lovegood
Remus Lupin
Dr. Remus Lupin
Professor Remus Lupin
Mr. Remus Lupin
Mrs. Remus Lupin
Ms. Remus Lupin
Miss Remus Lupin
Aunt Remus Lupin
Uncle Remus Lupin
Mr. and Mrs. Remus Lupin
Teddy Lupin
Dr. Teddy Lupin
Professor Teddy Lupin
Mr. Teddy Lupin
Mrs. Teddy Lupin
Ms. Teddy Lupin
Miss Teddy Lupin
Aunt Teddy Lupin
Uncle Teddy Lupin
Mr. and Mrs. Teddy Lupin
Walden Macnair
Dr. Walden Macnair
Professor Walden Macnair
Mr. Walden Macnair
Mrs. Walden Macnair
Ms. Walden Macnair
Miss Walden Macnair
Aunt Walden Macnair
Uncle Walden Macnair
Mr. and Mrs. Walden Macnair
Draco Malfoy
Dr. Draco Malfoy
Professor Draco Malfoy
Mr. Draco Malfoy
Mrs. Draco Malfoy
Ms. Draco Malfoy
Miss Draco Malfoy
Aunt Draco Malfoy
Uncle Draco Malfoy
Mr. and Mrs. Draco Malfoy
Lucius Malfoy
Dr. Lucius Malfoy
Professor Lucius Malfoy
Mr. Lucius Malfoy
Mrs. Lucius Malfoy
Ms. Lucius Malfoy
Miss Lucius Malfoy
Aunt Lucius Malfoy
Uncle Lucius Malfoy
Mr. and Mrs. Lucius Malfoy
Narcissa Malfoy
Dr. Narcissa Malfoy
Professor Narcissa Malfoy
Mr. Narcissa Malfoy
Mrs. Narcissa Malfoy
Ms. Narcissa Malfoy
Miss Narcissa Malfoy
Aunt Narcissa Malfoy
Uncle Narcissa Malfoy
Mr. and Mrs. Narcissa Malfoy
Scorpius Malfoy
Dr. Scorpius Malfoy
Professor Scorpius Malfoy
Mr. Scorpius Malfoy
Mrs. Scorpius Malfoy
Ms. Scorpius Malfoy
Miss Scorpius Malfoy
Aunt Scorpius Malfoy
Uncle Scorpius Malfoy
Mr. and Mrs. Scorpius Malfoy
Madam Malkin
Dr. Madam Malkin
Professor Madam Malkin
Mr. Madam Malkin
Mrs. Madam Malkin
Ms. Madam Malkin
Miss Madam Malkin
Aunt Madam Malkin
Uncle Madam Malkin
Mr. and Mrs. Madam Malkin
Griselda Marchbanks
Dr. Griselda Marchbanks
Professor Griselda Marchbanks
Mr. Griselda Marchbanks
Mrs. Griselda Marchbanks
Ms. Griselda Marchbanks
Miss Griselda Marchbanks
Aunt Griselda Marchbanks
Uncle Griselda Marchbanks
Mr. and Mrs. Griselda Marchbanks
Olympe Maxime
Dr. Olympe Maxime
Professor Olympe Maxime
Mr. Olympe Maxime
Mrs. Olympe Maxime
Ms. Olympe Maxime
Miss Olympe Maxime
Aunt Olympe Maxime
Uncle Olympe Maxime
Mr. and Mrs. Olympe Maxime
Ernie Macmillan
Dr. Ernie Macmillan
Professor Ernie Macmillan
Mr. Ernie Macmillan
Mrs. Ernie Macmillan
Ms. Ernie Macmillan
Miss Ernie Macmillan
Aunt Ernie Macmillan
Uncle Ernie Macmillan
Mr. and Mrs. Ernie Macmillan
Minerva McGonagall
Dr. Minerva McGonagall
Professor Minerva McGonagall
Mr. Minerva McGonagall
Mrs. Minerva McGonagall
Ms. Minerva McGonagall
Miss Minerva McGonagall
Aunt Minerva McGonagall
Uncle Minerva McGonagall
Mr. and Mrs. Minerva McGonagall
Cormac McLaggen
Dr. Cormac McLaggen
Professor Cormac McLaggen
Mr. Cormac McLaggen
Mrs. Cormac McLaggen
Ms. Cormac McLaggen
Miss Cormac McLaggen
Aunt Cormac McLaggen
Uncle Cormac McLaggen
Mr. and Mrs. Cormac McLaggen
Graham Montague
Dr. Graham Montague
Professor Graham Montague
Mr. Graham Montague
Mrs. Graham Montague
Ms. Graham Montague
Miss Graham Montague
Aunt Graham Montague
Uncle Graham Montague
Mr. and Mrs. Graham Montague
Alastor (Mad-Eye) Moody
Dr. Alastor (Mad-Eye) Moody
Professor Alastor (Mad-Eye) Moody
Mr. Alastor (Mad-Eye) Moody
Mrs. Alastor (Mad-Eye) Moody
Ms. Alastor (Mad-Eye) Moody
Miss Alastor (Mad-Eye) Moody
Aunt Alastor (Mad-Eye) Moody
Uncle Alastor (Mad-Eye) Moody
Mr. and Mrs. Alastor (Mad-Eye) Moody
Theodore Nott
Dr. Theodore Nott
Professor Theodore Nott
Mr. Theodore Nott
Mrs. Theodore Nott
Ms. Theodore Nott
Miss Theodore Nott
Aunt Theodore Nott
Uncle Theodore Nott
